CAE_NAME_CLEAN,WIN_NAME_CLEAN,number_of_awards,total_value_euro,authority_node,company_node
"""republik österreich (bund)""",frach fwo gmbh,1,279576.26,"AUTH::""republik österreich (bund)""",COMP::frach fwo gmbh
"""wiener frauenhäuser"" - soziale hilfen für von gewalt betroffene frauen und ihrekinder",wien work-integrative betriebe und ausbildungsgmbh,1,233155.0,"AUTH::""wiener frauenhäuser"" - soziale hilfen für von gewalt betroffene frauen und ihrekinder",COMP::wien work-integrative betriebe und ausbildungsgmbh
"76069 -hopfgarten berglift; sicherungsmaßnahmen und erneuerung tunnelportal nach vermurung, km 178,400-179,430; baumeisterarbeiten - bauphase 1 / spezialtiefbau",ing. berger & brunner baugesellschaft m.b.h / niederlassung inzing,1,1487192.65,"AUTH::76069 -hopfgarten berglift; sicherungsmaßnahmen und erneuerung tunnelportal nach vermurung, km 178,400-179,430; baumeisterarbeiten - bauphase 1 / spezialtiefbau",COMP::ing. berger & brunner baugesellschaft m.b.h / niederlassung inzing
a. ö. bezirkskrankenhaus reutte,nexus digitale dokumentationssysteme projektentwicklungsges.m.b.h.,1,632818.32,AUTH::a. ö. bezirkskrankenhaus reutte,COMP::nexus digitale dokumentationssysteme projektentwicklungsges.m.b.h.
a. ö. krankenhaus des deutschen ordens friesach gmbh,kastner zt-gmbh,1,797762.79,AUTH::a. ö. krankenhaus des deutschen ordens friesach gmbh,COMP::kastner zt-gmbh
a.ö. krankenhaus der barmherzigen brüder st. veit a.d. glan,1a bodenprofi gmbh,1,199069.37,AUTH::a.ö. krankenhaus der barmherzigen brüder st. veit a.d. glan,COMP::1a bodenprofi gmbh
a.ö. krankenhaus der barmherzigen brüder st. veit a.d. glan,m+e metallbau gmbh,3,856830.04,AUTH::a.ö. krankenhaus der barmherzigen brüder st. veit a.d. glan,COMP::m+e metallbau gmbh
a.ö. krankenhaus der barmherzigen brüder st. veit a.d. glan,malerei sucher gmbh,1,144638.0,AUTH::a.ö. krankenhaus der barmherzigen brüder st. veit a.d. glan,COMP::malerei sucher gmbh
a.ö. krankenhaus der barmherzigen brüder st. veit a.d. glan,tischlerei georg grübler gmbh,1,637739.0,AUTH::a.ö. krankenhaus der barmherzigen brüder st. veit a.d. glan,COMP::tischlerei georg grübler gmbh
a.ö. krankenhaus der barmherzigen brüder st. veit a.d. glan,tischlerei scheschy gmbh,1,173877.16,AUTH::a.ö. krankenhaus der barmherzigen brüder st. veit a.d. glan,COMP::tischlerei scheschy gmbh
a.ö. krankenhaus st. josef braunau gmbh,tischlerei scheschy gmbh,1,1062533.15,AUTH::a.ö. krankenhaus st. josef braunau gmbh,COMP::tischlerei scheschy gmbh
acomarket gmbh,zoom video communications inc,1,339150.0,AUTH::acomarket gmbh,COMP::zoom video communications inc
aed - agency for economic cooperation and development,arge mit e-solutions/digitalberatung,1,115000.0,AUTH::aed - agency for economic cooperation and development,COMP::arge mit e-solutions/digitalberatung
ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,agilent technologies österreich gmbh,1,246731.02,AUTH::ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,COMP::agilent technologies österreich gmbh
ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,axel semrau gmbh & co. kg,1,134140.8,AUTH::ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,COMP::axel semrau gmbh & co. kg
ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,borgwaldt kc gmbh,1,243017.9,AUTH::ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,COMP::borgwaldt kc gmbh
ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,bruker biospin gmbh,1,671956.99,AUTH::ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,COMP::bruker biospin gmbh
ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,bruker daltronics gmbh & co. kg,1,199750.0,AUTH::ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,COMP::bruker daltronics gmbh & co. kg
ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,canberra packard central europe gmbh,1,196155.0,AUTH::ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,COMP::canberra packard central europe gmbh
ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,conevo integrative organisationsberatung gmbh---die.agilen gmbh,1,450000.0,AUTH::ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,COMP::conevo integrative organisationsberatung gmbh---die.agilen gmbh
ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,fleck elektroinstallationen gmbh---smart greenery gmbh,1,426000.0,AUTH::ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,COMP::fleck elektroinstallationen gmbh---smart greenery gmbh
ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,gerstel gmbh & co. kg,1,246731.02,AUTH::ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,COMP::gerstel gmbh & co. kg
ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,global office franchise at gmbh,5,24200000.0,AUTH::ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,COMP::global office franchise at gmbh
ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,hamilton germany gmbh,1,300800.6,AUTH::ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,COMP::hamilton germany gmbh
ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,haufe umantis ag,1,214565.16,AUTH::ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,COMP::haufe umantis ag
ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,infor (österreich) gmbh,1,400000.0,AUTH::ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,COMP::infor (österreich) gmbh
ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,intelia gmbh,1,4000000.0,AUTH::ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,COMP::intelia gmbh
ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,life technologies gmbh,2,243691.48,AUTH::ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,COMP::life technologies gmbh
ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,sarstedt gesmbh,1,175554.05,AUTH::ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,COMP::sarstedt gesmbh
ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,spt labtech ltd,3,515063.23,AUTH::ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,COMP::spt labtech ltd
ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,thermo fisher scientific wissenschaftliche geräte gmbh,2,515562.29000000004,AUTH::ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,COMP::thermo fisher scientific wissenschaftliche geräte gmbh
ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,tricontes360 gmbh,1,9500000.0,AUTH::ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,COMP::tricontes360 gmbh
ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,viennacommunications consulting gmbh,4,14300000.0,AUTH::ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,COMP::viennacommunications consulting gmbh
ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,virtual7 gmbh,1,10000000.0,AUTH::ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,COMP::virtual7 gmbh
ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,yuutel gmbh,2,140000.0,AUTH::ages - österreichische agentur für gesundheit und ernährungssicherheit gmbh,COMP::yuutel gmbh
agrarmarkt austria,active solution gmbh,3,309000000.0,AUTH::agrarmarkt austria,COMP::active solution gmbh
agrarmarkt austria,adesso austria gmbh,3,309000000.0,AUTH::agrarmarkt austria,COMP::adesso austria gmbh
agrarmarkt austria,beko engineering & informatik gmbh,3,309000000.0,AUTH::agrarmarkt austria,COMP::beko engineering & informatik gmbh
agrarmarkt austria,eox it services gmbh---geoville informationssysteme und datenverarbeitung gmbh,1,11470071.8,AUTH::agrarmarkt austria,COMP::eox it services gmbh---geoville informationssysteme und datenverarbeitung gmbh
agrarmarkt austria,equip gmbh,3,309000000.0,AUTH::agrarmarkt austria,COMP::equip gmbh
agrarmarkt austria,servitu specialized resourcing gmbh,2,206000000.0,AUTH::agrarmarkt austria,COMP::servitu specialized resourcing gmbh
agrarmarkt austria,softcom consulting gmbh,1,103000000.0,AUTH::agrarmarkt austria,COMP::softcom consulting gmbh
agrarmarkt austria,suppliance gmbh,3,309000000.0,AUTH::agrarmarkt austria,COMP::suppliance gmbh
agrarmarkt austria marketing gesmbh,agrovet gmbh,1,1.0,AUTH::agrarmarkt austria marketing gesmbh,COMP::agrovet gmbh
agrarmarkt austria marketing gesmbh,austria bio garantie gmbh,1,1.0,AUTH::agrarmarkt austria marketing gesmbh,COMP::austria bio garantie gmbh
agrarmarkt austria marketing gesmbh,bbdo group kreativagenturen gmbh,1,26356365.24,AUTH::agrarmarkt austria marketing gesmbh,COMP::bbdo group kreativagenturen gmbh
agrarmarkt austria marketing gesmbh,havas media gmbh,1,26356365.24,AUTH::agrarmarkt austria marketing gesmbh,COMP::havas media gmbh
agrarmarkt austria marketing gesmbh,havas wien gmbh,1,26356365.24,AUTH::agrarmarkt austria marketing gesmbh,COMP::havas wien gmbh
agrarmarkt austria marketing gesmbh,heimat wien - hmt marketing gmbh,1,26356365.24,AUTH::agrarmarkt austria marketing gesmbh,COMP::heimat wien - hmt marketing gmbh
agrarmarkt austria marketing gesmbh,lacon - privatinstitut für qualitätssicherung und zertifizierung ökologisch erzeugter lebensmittel gmbh,1,1.0,AUTH::agrarmarkt austria marketing gesmbh,COMP::lacon - privatinstitut für qualitätssicherung und zertifizierung ökologisch erzeugter lebensmittel gmbh
agrarmarkt austria marketing gesmbh,lkv austria gemeinnützige gmbh,1,1.0,AUTH::agrarmarkt austria marketing gesmbh,COMP::lkv austria gemeinnützige gmbh
agrarmarkt austria marketing gesmbh,lva gmbh,1,1.0,AUTH::agrarmarkt austria marketing gesmbh,COMP::lva gmbh
agrarmarkt austria marketing gesmbh,overlap gmbh & co kg,1,26356365.24,AUTH::agrarmarkt austria marketing gesmbh,COMP::overlap gmbh & co kg
agrarmarkt austria marketing gesmbh,sgs austria controll-co. ges.m.b.h.,1,1.0,AUTH::agrarmarkt austria marketing gesmbh,COMP::sgs austria controll-co. ges.m.b.h.
agrarmarkt austria marketing gesmbh,slk gesmbh,1,1.0,AUTH::agrarmarkt austria marketing gesmbh,COMP::slk gesmbh
agrarmarkt austria marketing gesmbh,stargate group werbeagentur gmbh,1,26356365.24,AUTH::agrarmarkt austria marketing gesmbh,COMP::stargate group werbeagentur gmbh
ait austrian institute of technology gmbh,"budapest university of technology and economics, department of networked systems and services",1,500000.0,AUTH::ait austrian institute of technology gmbh,"COMP::budapest university of technology and economics, department of networked systems and services"
ait austrian institute of technology gmbh,czech technical university in prague,1,500000.0,AUTH::ait austrian institute of technology gmbh,COMP::czech technical university in prague
ait austrian institute of technology gmbh,evolutionq,1,500000.0,AUTH::ait austrian institute of technology gmbh,COMP::evolutionq
ait austrian institute of technology gmbh,"fyzikálny ústav sav, v. v. i.",1,500000.0,AUTH::ait austrian institute of technology gmbh,"COMP::fyzikálny ústav sav, v. v. i."
ait austrian institute of technology gmbh,"gmv aerospace and defence, s.a.u.",1,500000.0,AUTH::ait austrian institute of technology gmbh,"COMP::gmv aerospace and defence, s.a.u."
ait austrian institute of technology gmbh,ing. erhard fischer gmbh,1,202913.0,AUTH::ait austrian institute of technology gmbh,COMP::ing. erhard fischer gmbh
ait austrian institute of technology gmbh,m24you gmbh,1,198974.15,AUTH::ait austrian institute of technology gmbh,COMP::m24you gmbh
ait austrian institute of technology gmbh,national centre for scientific research demokritos patr. gregoriou,1,500000.0,AUTH::ait austrian institute of technology gmbh,COMP::national centre for scientific research demokritos patr. gregoriou
ait austrian institute of technology gmbh,qti srl,1,500000.0,AUTH::ait austrian institute of technology gmbh,COMP::qti srl
ait austrian institute of technology gmbh,stemmer imaging ges.m.b.h.,1,650533.3,AUTH::ait austrian institute of technology gmbh,COMP::stemmer imaging ges.m.b.h.
ait austrian institute of technology gmbh,veriqloud,1,500000.0,AUTH::ait austrian institute of technology gmbh,COMP::veriqloud
albertina wissenschaftliche anstalt öffentlichen rechts,siwacht bewachungsdienst gmbh,2,804716.9,AUTH::albertina wissenschaftliche anstalt öffentlichen rechts,COMP::siwacht bewachungsdienst gmbh
alle - burgenland,crm medientrend gmbh,1,944000.0,AUTH::alle - burgenland,COMP::crm medientrend gmbh
allgemeine sonderschulgemeinde tulln---polytechnische schulgemeinde tulln,architekten maurer & partner zt gmbh,1,650000.0,AUTH::allgemeine sonderschulgemeinde tulln---polytechnische schulgemeinde tulln,COMP::architekten maurer & partner zt gmbh
allgemeine sonderschulgemeinde tulln---polytechnische schulgemeinde tulln,kpp consulting gmbh,1,126000.0,AUTH::allgemeine sonderschulgemeinde tulln---polytechnische schulgemeinde tulln,COMP::kpp consulting gmbh
allgemeine unfallversicherungsanstalt (auva),antiseptica chemisch- pharmazeutische produkte gmbh,1,200326.09,AUTH::allgemeine unfallversicherungsanstalt (auva),COMP::antiseptica chemisch- pharmazeutische produkte gmbh
allgemeine unfallversicherungsanstalt (auva),balmung medical handel gmbh,2,261395.6,AUTH::allgemeine unfallversicherungsanstalt (auva),COMP::balmung medical handel gmbh
allgemeine unfallversicherungsanstalt (auva),nordiska gmbh & co. kg,2,261395.6,AUTH::allgemeine unfallversicherungsanstalt (auva),COMP::nordiska gmbh & co. kg
allgemeine unfallversicherungsanstalt (auva),paul hartmann gesellschaft mbh,4,801304.36,AUTH::allgemeine unfallversicherungsanstalt (auva),COMP::paul hartmann gesellschaft mbh
allgemeine unfallversicherungsanstalt (auva),sanitas gesellschaft m.b.h.,1,299621.11,AUTH::allgemeine unfallversicherungsanstalt (auva),COMP::sanitas gesellschaft m.b.h.
allgemeine unfallversicherungsanstalt (auva),schülke & mayr gesellschaft m.b.h.,1,200326.09,AUTH::allgemeine unfallversicherungsanstalt (auva),COMP::schülke & mayr gesellschaft m.b.h.
allgemeine unfallversicherungsanstalt (auva),"seifried jürgen, mag. fital - gesundheit am arbeitsplatz",4,2186080.0,AUTH::allgemeine unfallversicherungsanstalt (auva),"COMP::seifried jürgen, mag. fital - gesundheit am arbeitsplatz"
allgemeine unfallversicherungsanstalt (auva),sesco marketing & sales gmbh,1,130697.8,AUTH::allgemeine unfallversicherungsanstalt (auva),COMP::sesco marketing & sales gmbh
allgemeine unfallversicherungsanstalt (auva),strabag property and facility services gmbh,1,250054.07,AUTH::allgemeine unfallversicherungsanstalt (auva),COMP::strabag property and facility services gmbh
allgemeine unfallversicherungsanstalt (auva),true sky handelsgmbh,1,130697.8,AUTH::allgemeine unfallversicherungsanstalt (auva),COMP::true sky handelsgmbh
allgemeine unfallversicherungsanstalt (auva),virtamed,1,394950.0,AUTH::allgemeine unfallversicherungsanstalt (auva),COMP::virtamed
"allgemeine unfallversicherungsanstalt (auva)---hauptverband der österreichischen sozialversicherungsträger---it-services der sozialversicherung gmbh---peering point betriebs gmbh---pensionsversicherungsanstalt (pva)---sv-pensionskassen ag---svd büromanagement gmbh---sozialversicherungsanstalt der bauern---sozialversicherungsanstalt der gewerblichen wirtschaft---versicherungsanstalt öffentlich bediensteter, eisenbahnen und bergbau (bvaeb)---österreichische gesundheitskasse",consulting aktiengesellschaft---hmp beratungs gmbh,1,25000000.0,"AUTH::allgemeine unfallversicherungsanstalt (auva)---hauptverband der österreichischen sozialversicherungsträger---it-services der sozialversicherung gmbh---peering point betriebs gmbh---pensionsversicherungsanstalt (pva)---sv-pensionskassen ag---svd büromanagement gmbh---sozialversicherungsanstalt der bauern---sozialversicherungsanstalt der gewerblichen wirtschaft---versicherungsanstalt öffentlich bediensteter, eisenbahnen und bergbau (bvaeb)---österreichische gesundheitskasse",COMP::consulting aktiengesellschaft---hmp beratungs gmbh
allgemeines krankenhaus der stadt wien - medizinischer universitätscampus,medtronic österreich gmbh,1,420000.0,AUTH::allgemeines krankenhaus der stadt wien - medizinischer universitätscampus,COMP::medtronic österreich gmbh
allgemeines krankenhaus der stadt wien - medizinischer universitätscampus,siemens healthcare diagnostics gmbh,2,2838071.0,AUTH::allgemeines krankenhaus der stadt wien - medizinischer universitätscampus,COMP::siemens healthcare diagnostics gmbh
"alpen-adria-universität klagenfurt---fh campus wien---fh joanneum gesellschaft mbh---fh oberösterreich ---fh wiener neustadt gmbh---fachhochschule kärnten gemeinnützige privatstiftung---fachhochschule salzburg gmbh---fachhochschule st. pölten gmbh bibliothek---fachhochschule technikum wien---fonds zur förderung der wissenschaftlichen forschung (fwf)---johannes kepler universität linz, bibliothek---paris-lodron-universität salzburg---technische universität graz, bibliothek und archiv---technische universität wien, bibliothek---universität innsbruck, universitäts- und landesbibliothek tirol---universität wien, bibliothek- und archivwesen---universität für weiterbildung krems","the institute of electrical and electronic engineers, incorporated (“ieee”)",1,2554800.47,"AUTH::alpen-adria-universität klagenfurt---fh campus wien---fh joanneum gesellschaft mbh---fh oberösterreich ---fh wiener neustadt gmbh---fachhochschule kärnten gemeinnützige privatstiftung---fachhochschule salzburg gmbh---fachhochschule st. pölten gmbh bibliothek---fachhochschule technikum wien---fonds zur förderung der wissenschaftlichen forschung (fwf)---johannes kepler universität linz, bibliothek---paris-lodron-universität salzburg---technische universität graz, bibliothek und archiv---technische universität wien, bibliothek---universität innsbruck, universitäts- und landesbibliothek tirol---universität wien, bibliothek- und archivwesen---universität für weiterbildung krems","COMP::the institute of electrical and electronic engineers, incorporated (“ieee”)"
ams österreich,ab initio services llc,1,400000.0,AUTH::ams österreich,COMP::ab initio services llc
ams österreich,dataformers gmbh,1,900000.0,AUTH::ams österreich,COMP::dataformers gmbh
amt der burgenländischen landesregierung,sage gmbh,1,233947.0,AUTH::amt der burgenländischen landesregierung,COMP::sage gmbh
amt der burgenländischen landesregierung,sanochemia labor gmbh,1,4100000.0,AUTH::amt der burgenländischen landesregierung,COMP::sanochemia labor gmbh
amt der burgenländischen landesregierung,"österreichisches rotes kreuz, landesverband burgenland",1,1298329.91,AUTH::amt der burgenländischen landesregierung,"COMP::österreichisches rotes kreuz, landesverband burgenland"
"amt der kärntner landesregierung, abteilung 10 - land- und forstwirtschaft, ländlicher raum",gbm maschinenvertrieb gmbh,1,306000.0,"AUTH::amt der kärntner landesregierung, abteilung 10 - land- und forstwirtschaft, ländlicher raum",COMP::gbm maschinenvertrieb gmbh
"amt der kärntner landesregierung, abteilung 14 - kunst und kultur",werk1 werbegraphik gmbh,1,205380.0,"AUTH::amt der kärntner landesregierung, abteilung 14 - kunst und kultur",COMP::werk1 werbegraphik gmbh
"amt der kärntner landesregierung, abteilung 2 - finanzen, beteiligungen und immobilienmanagement, unterabteilung landesimmobilienmanagement",architekt di werner thurner,1,171121.29,"AUTH::amt der kärntner landesregierung, abteilung 2 - finanzen, beteiligungen und immobilienmanagement, unterabteilung landesimmobilienmanagement",COMP::architekt di werner thurner
"amt der kärntner landesregierung, abteilung 2 - finanzen, beteiligungen und immobilienmanagement, unterabteilung landesimmobilienmanagement",atc - albert tripolt consult ziviltechniker gmbh,1,469577.0,"AUTH::amt der kärntner landesregierung, abteilung 2 - finanzen, beteiligungen und immobilienmanagement, unterabteilung landesimmobilienmanagement",COMP::atc - albert tripolt consult ziviltechniker gmbh
"amt der kärntner landesregierung, abteilung 2 - finanzen, beteiligungen und immobilienmanagement, unterabteilung landesimmobilienmanagement","swietelsky ag, zweigniederlassung kärnten/osttirol",1,1070423.24,"AUTH::amt der kärntner landesregierung, abteilung 2 - finanzen, beteiligungen und immobilienmanagement, unterabteilung landesimmobilienmanagement","COMP::swietelsky ag, zweigniederlassung kärnten/osttirol"
"amt der kärntner landesregierung, abteilung 9 straßen und brücken",alp-infra consulting + engineering gmbh,1,40822.08,"AUTH::amt der kärntner landesregierung, abteilung 9 straßen und brücken",COMP::alp-infra consulting + engineering gmbh
"amt der kärntner landesregierung, abteilung 9 straßen und brücken",eb&p umweltbüro gmbh,1,11630.11,"AUTH::amt der kärntner landesregierung, abteilung 9 straßen und brücken",COMP::eb&p umweltbüro gmbh
"amt der kärntner landesregierung, abteilung 9 straßen und brücken",reinhard schmölzer gmbh,1,4400.0,"AUTH::amt der kärntner landesregierung, abteilung 9 straßen und brücken",COMP::reinhard schmölzer gmbh
"amt der kärntner landesregierung, abteilung 9 straßen und brücken",strabag ag,1,2173864.06,"AUTH::amt der kärntner landesregierung, abteilung 9 straßen und brücken",COMP::strabag ag
amt der oberösterreichischen landesregierung - abteilung naturschutz,blattfisch e.u. technisches büro für gewässerökologie dl clemens gumpinger,1,126432.9,AUTH::amt der oberösterreichischen landesregierung - abteilung naturschutz,COMP::blattfisch e.u. technisches büro für gewässerökologie dl clemens gumpinger
amt der oberösterreichischen landesregierung - abteilung naturschutz,e.c.o. institut für ökologie jungmeier gmbh,1,46076.0,AUTH::amt der oberösterreichischen landesregierung - abteilung naturschutz,COMP::e.c.o. institut für ökologie jungmeier gmbh
amt der steiermärkischen landesregierung für das bundesministerium für nachhaltigkeit und tourismus,eder brunnenbau gmbh,1,163332.0,AUTH::amt der steiermärkischen landesregierung für das bundesministerium für nachhaltigkeit und tourismus,COMP::eder brunnenbau gmbh
arbeiterkammer wien,das rund gmbh,1,18745.0,AUTH::arbeiterkammer wien,COMP::das rund gmbh
arbeiterkammer wien,digitalsunray media gmbh,1,316520.0,AUTH::arbeiterkammer wien,COMP::digitalsunray media gmbh
arbeiterkammer wien,mxr productions gmbh,1,18745.0,AUTH::arbeiterkammer wien,COMP::mxr productions gmbh
arbeiterkammer wien,ppmnext film gmbh,1,18745.0,AUTH::arbeiterkammer wien,COMP::ppmnext film gmbh
arbeiterkammer wien,rotweissgold kommunikationsagentur gmbh,1,670.0,AUTH::arbeiterkammer wien,COMP::rotweissgold kommunikationsagentur gmbh
arbeiterkammer wien,stargate group werbeagentur gmbh,1,388480.0,AUTH::arbeiterkammer wien,COMP::stargate group werbeagentur gmbh
arbeitsmarktservice burgenland,dialog bildungs- und beratungsinstitut gmbh,1,1012080.0,AUTH::arbeitsmarktservice burgenland,COMP::dialog bildungs- und beratungsinstitut gmbh
arbeitsmarktservice kärnten,berufsförderungsinstitut kärnten,13,8337765.0,AUTH::arbeitsmarktservice kärnten,COMP::berufsförderungsinstitut kärnten
arbeitsmarktservice kärnten,berufsförderungsinstitut kärnten---wifi kärnten gmbh,2,286409.0,AUTH::arbeitsmarktservice kärnten,COMP::berufsförderungsinstitut kärnten---wifi kärnten gmbh
arbeitsmarktservice kärnten,bietergemeinschaft bfi - wifi - ösb,1,740546.0,AUTH::arbeitsmarktservice kärnten,COMP::bietergemeinschaft bfi - wifi - ösb
arbeitsmarktservice kärnten,bietergemeinschaft bfi / wifi,1,148051.0,AUTH::arbeitsmarktservice kärnten,COMP::bietergemeinschaft bfi / wifi
arbeitsmarktservice kärnten,bietergemeinschaft kärntner berufsförderungsinstitut gmbh / wifi-kärnten,1,39398.8,AUTH::arbeitsmarktservice kärnten,COMP::bietergemeinschaft kärntner berufsförderungsinstitut gmbh / wifi-kärnten
arbeitsmarktservice kärnten,bit management beratung gmbh,1,596707.0,AUTH::arbeitsmarktservice kärnten,COMP::bit management beratung gmbh
arbeitsmarktservice kärnten,bit schulungscenter gmbh,6,593323.61,AUTH::arbeitsmarktservice kärnten,COMP::bit schulungscenter gmbh
arbeitsmarktservice kärnten,die kärntner volkshochschulen,2,473180.0,AUTH::arbeitsmarktservice kärnten,COMP::die kärntner volkshochschulen
arbeitsmarktservice kärnten,equaliz,1,180688.2,AUTH::arbeitsmarktservice kärnten,COMP::equaliz
arbeitsmarktservice kärnten,"equaliz gemeinsam vielfältig geschlechtergerechtigkeit, chancengleichheit",2,336343.1,AUTH::arbeitsmarktservice kärnten,"COMP::equaliz gemeinsam vielfältig geschlechtergerechtigkeit, chancengleichheit"
arbeitsmarktservice kärnten,ifa unternehmensberatung gmbh,1,83220.0,AUTH::arbeitsmarktservice kärnten,COMP::ifa unternehmensberatung gmbh
arbeitsmarktservice kärnten,"kärntner baumeisterverband, bauhütte - lehrbauhof",2,724379.53,AUTH::arbeitsmarktservice kärnten,"COMP::kärntner baumeisterverband, bauhütte - lehrbauhof"
arbeitsmarktservice kärnten,kärntner berufsförderungsinstitut gmbh,15,7052270.57,AUTH::arbeitsmarktservice kärnten,COMP::kärntner berufsförderungsinstitut gmbh
arbeitsmarktservice kärnten,kärntner berufsförderungsinstitut gmbh---wifi kärnten gmbh,6,3145941.2,AUTH::arbeitsmarktservice kärnten,COMP::kärntner berufsförderungsinstitut gmbh---wifi kärnten gmbh
arbeitsmarktservice kärnten,technische ausbildungs gmbh,1,1100000.0,AUTH::arbeitsmarktservice kärnten,COMP::technische ausbildungs gmbh
arbeitsmarktservice kärnten,the update training gmbh,2,333145.0,AUTH::arbeitsmarktservice kärnten,COMP::the update training gmbh
arbeitsmarktservice kärnten,wifi kärnten gmbh,14,7004920.21,AUTH::arbeitsmarktservice kärnten,COMP::wifi kärnten gmbh
arbeitsmarktservice kärnten,ösb consulting gmbh,1,397215.0,AUTH::arbeitsmarktservice kärnten,COMP::ösb consulting gmbh
arbeitsmarktservice niederösterreich,"abz*austria - verein zur förderung von arbeit, bildung und zukunft von frauen",1,962269.24,AUTH::arbeitsmarktservice niederösterreich,"COMP::abz*austria - verein zur förderung von arbeit, bildung und zukunft von frauen"
arbeitsmarktservice niederösterreich,die berater,1,1340165.0,AUTH::arbeitsmarktservice niederösterreich,COMP::die berater
arbeitsmarktservice niederösterreich,frauen für frauen,1,558441.1,AUTH::arbeitsmarktservice niederösterreich,COMP::frauen für frauen
arbeitsmarktservice niederösterreich,frauenberatung waldviertel,2,1159433.8199999998,AUTH::arbeitsmarktservice niederösterreich,COMP::frauenberatung waldviertel
arbeitsmarktservice niederösterreich,h2o bildung & beratung peter grassberger---verein zur förderung sozialer kommunikation u. integration,1,9994474.48,AUTH::arbeitsmarktservice niederösterreich,COMP::h2o bildung & beratung peter grassberger---verein zur förderung sozialer kommunikation u. integration
arbeitsmarktservice niederösterreich,hebebühne---zib training gmbh,1,3116037.77,AUTH::arbeitsmarktservice niederösterreich,COMP::hebebühne---zib training gmbh
arbeitsmarktservice niederösterreich,mentor gmbh & co og---murad & murad---weidinger & partner,1,9994474.48,AUTH::arbeitsmarktservice niederösterreich,COMP::mentor gmbh & co og---murad & murad---weidinger & partner
arbeitsmarktservice niederösterreich,mentor gmbh & co---murad & murad---weidinger & partner,1,9994474.48,AUTH::arbeitsmarktservice niederösterreich,COMP::mentor gmbh & co---murad & murad---weidinger & partner
arbeitsmarktservice niederösterreich,mentor management,1,1340165.0,AUTH::arbeitsmarktservice niederösterreich,COMP::mentor management
arbeitsmarktservice niederösterreich,mentor manangement - entwicklung - organisation gmbh & co og,1,2139177.2,AUTH::arbeitsmarktservice niederösterreich,COMP::mentor manangement - entwicklung - organisation gmbh & co og
arbeitsmarktservice niederösterreich,ppc training - rath & artner gmbh,1,228815.7,AUTH::arbeitsmarktservice niederösterreich,COMP::ppc training - rath & artner gmbh
arbeitsmarktservice niederösterreich,verein zur förderung sozialer kommunikation und integration hebebühne,2,2537488.0,AUTH::arbeitsmarktservice niederösterreich,COMP::verein zur förderung sozialer kommunikation und integration hebebühne
arbeitsmarktservice niederösterreich,wirtschaftsförderungsinstitut der wirtschaftskammer nö,3,10824971.96,AUTH::arbeitsmarktservice niederösterreich,COMP::wirtschaftsförderungsinstitut der wirtschaftskammer nö
arbeitsmarktservice niederösterreich,zib training,1,9994474.48,AUTH::arbeitsmarktservice niederösterreich,COMP::zib training
